title;description;price
'Базовый блок "Мустанг-2000 +" 4 канала';'Базовый блок "Мустанг-2000 +" 4 канала';12 900,00
'Базовый блок "Мустанг-2000 +" 2 канала';'Базовый блок "Мустанг-2000 +" 2 канала';8 900,00
'Базовый блок "Мустанг-2000 +" 1 канал';'Базовый блок "Мустанг-2000 +" 1 канал';6 900,00
'Базовый блок "Мустанг-2000" 4 канала';'Базовый блок "Мустанг-2000" 4 канала';11 600,00
'Базовый блок "Мустанг-2000" 2 канала';'Базовый блок "Мустанг-2000" 2 канала';8 000,00
'Блок биоуправления (музыкальный) к АЛТ "Мустанг-2000"';'Блок биоуправления (музыкальный) к АЛТ "Мустанг-2000"';8 000,00
'Блок биоуправления к АЛТ "Мустанг-2000"';'Блок биоуправления к АЛТ "Мустанг-2000"';4 800,00
'Аппарат лазерный терапевтический "Мулат" (2 мВт на вых КИВЛ02)';'Аппарат лазерный терапевтический "Мулат" (2 мВт на вых КИВЛ02)';13 400,00
'Аппарат лазерный терапевтическ "Мулат"-М5 (5 мВт на вых КИВЛ02)';'Аппарат лазерный терапевтическ "Мулат"-М5 (5 мВт на вых КИВЛ02)';18 500,00
'Аппарат лазерный терапевтич. "Мулат"-М10 (10 мВт на вых КИВЛ02)';'Аппарат лазерный терапевтич. "Мулат"-М10 (10 мВт на вых КИВЛ02)';24 500,00
'Стойка универсальная для АЛТ "Мустанг", АЛТ "Мулат"';'Стойка универсальная для АЛТ "Мустанг", АЛТ "Мулат"';9 900,00
'Универсальный измеритель мощности лазерного излучения               "Лазер-стандарт" (Сертификат,  Свидетельство о поверке)';'Универсальный измеритель мощности лазерного излучения               "Лазер-стандарт" (Сертификат,  Свидетельство о поверке)';29 000,00
'Лазерная излучающая матрица МЛО1К-2000';'Лазерная излучающая матрица МЛО1К-2000';6 600,00
'Лазерная излучающая головка ЛО1-2000';'Лазерная излучающая головка ЛО1-2000';3 080,00
'Лазерная излучающая головка ЛО2-2000';'Лазерная излучающая головка ЛО2-2000';4 100,00
'Лазерная излучающая головка ЛО3-2000';'Лазерная излучающая головка ЛО3-2000';5 500,00
'Лазерная излучающая головка ЛО4-2000';'Лазерная излучающая головка ЛО4-2000';7 400,00
'Лазерная излучающая головка ЛО5-2000';'Лазерная излучающая головка ЛО5-2000';8 690,00
'Лазерная излучающая головка ЛО6-2000';'Лазерная излучающая головка ЛО6-2000';9 790,00
'Лазерная излучающая головка ЛО7-2000';'Лазерная излучающая головка ЛО7-2000';11 900,00
'Лазерная излучающая головка ЛОК2-2000';'Лазерная излучающая головка ЛОК2-2000';7 900,00
'Лазерная излучающая головка КЛО1-2000';'Лазерная излучающая головка КЛО1-2000';3 500,00
'Лазерная излучающая головка КЛО2-2000';'Лазерная излучающая головка КЛО2-2000';6 600,00
'Лазерная излучающая головка КЛО3-2000';'Лазерная излучающая головка КЛО3-2000';6 600,00
'Лазерная излучающая головка КЛО4-2000';'Лазерная излучающая головка КЛО4-2000';18 000,00
'Лазерная излучающая головка КЛО5-2000';'Лазерная излучающая головка КЛО5-2000';6 600,00
'Лазерная излучающая головка КЛО6-2000';'Лазерная излучающая головка КЛО6-2000';7 700,00
'Лазерная излучающая головка КЛО7-2000';'Лазерная излучающая головка КЛО7-2000';7 700,00
'Лазерная излучающая головка МЛО2Б-2000';'Лазерная излучающая головка МЛО2Б-2000';9 900,00
'Лазерная излучающая головка МЛО2В-2000';'Лазерная излучающая головка МЛО2В-2000';9 900,00
'Лазерная излучающая головка МЛО3А-2000';'Лазерная излучающая головка МЛО3А-2000';9 900,00
'Лазерная излучающая головка МЛО3Б-2000';'Лазерная излучающая головка МЛО3Б-2000';9 900,00
'Лазерная излучающая головка МЛО5-2000';'Лазерная излучающая головка МЛО5-2000';9 900,00
'Лазерная излучающая головка МЛО6-2000';'Лазерная излучающая головка МЛО6-2000';9 900,00
'Лазерная излучающая головка МЛО7-2000';'Лазерная излучающая головка МЛО7-2000';9 900,00
'Лазерная излучающая головка МЛО8-2000';'Лазерная излучающая головка МЛО8-2000';9 900,00
'Лазерная излучающая головка ЛО-2000';'Лазерная излучающая головка ЛО-2000';3 500,00
'Лазерная излучающая головка ВЛОК-2000 (0,63 мкм, красный)       (2 мВт на выходе КИВЛ02)';'Лазерная излучающая головка ВЛОК-2000 (0,63 мкм, красный)       (2 мВт на выходе КИВЛ02)';7 700,00
'Лазерная излучающая головка ВЛОК-М5-2000 (0,63 мкм, красн.)  (5 мВт на выходе КИВЛ02)';'Лазерная излучающая головка ВЛОК-М5-2000 (0,63 мкм, красн.)  (5 мВт на выходе КИВЛ02)';15 200,00
'Лазерная излучающая головка ВЛОК-М10-2000 (0,63 мкм, красн)        (10 мВт на выходе КИВЛ02)';'Лазерная излучающая головка ВЛОК-М10-2000 (0,63 мкм, красн)        (10 мВт на выходе КИВЛ02)';18 000,00
'Лазерная излучающая головка ВЛОК-405 (0,405 мкм, фиолет.) (1,5 мВт на выходе КИВЛ02)';'Лазерная излучающая головка ВЛОК-405 (0,405 мкм, фиолет.) (1,5 мВт на выходе КИВЛ02)';47 000,00
'Лазерная излучающая головка ВЛОК-808 (0,808 мкм, ИК)  (40 мВт на выходе КИВЛ02)';'Лазерная излучающая головка ВЛОК-808 (0,808 мкм, ИК)  (40 мВт на выходе КИВЛ02)';6 900,00
'Светодиодная излучающая головка ВЛОК-СД-530                        (0,530 мкм, зеленый),      (1,5 мВт на выходе КИВЛ02)';'Светодиодная излучающая головка ВЛОК-СД-530                        (0,530 мкм, зеленый),      (1,5 мВт на выходе КИВЛ02)';8 900,00
'Светодиодная излучающая головка ВЛОК-СД-450                        (0,450 мкм, синий),      (1,5 мВт на выходе КИВЛ02)';'Светодиодная излучающая головка ВЛОК-СД-450                        (0,450 мкм, синий),      (1,5 мВт на выходе КИВЛ02)';8 900,00
'Светодиодная излучающая головка ВЛОК-СД-405                        (0,405 мкм, фиолетовый),      (1,5 мВт на выходе КИВЛ02)';'Светодиодная излучающая головка ВЛОК-СД-405                        (0,405 мкм, фиолетовый),      (1,5 мВт на выходе КИВЛ02)';8 900,00
'Светодиодная излучающая головка ВЛОК-СД-365                        (0,365 мкм, ультрафиолетовый),      (1,5 мВт на выходе КИВЛ02)';'Светодиодная излучающая головка ВЛОК-СД-365                        (0,365 мкм, ультрафиолетовый),      (1,5 мВт на выходе КИВЛ02)';18 900,00
'Матричный внутриполостной излучатель ИМВ-1                                  для применения в урологии';'Матричный внутриполостной излучатель ИМВ-1                                  для применения в урологии';6 600,00
'Лазерно-светодиодная излучающая головка МЛС-1-2000 "Эффект"';'Лазерно-светодиодная излучающая головка МЛС-1-2000 "Эффект"';19 900,00
'Излучающая головка КВЧ-49';'Излучающая головка КВЧ-49';12 000,00
'Излучающая головка КВЧ-56';'Излучающая головка КВЧ-56';12 000,00
'Излучающая головка КВЧ-71';'Излучающая головка КВЧ-71';12 000,00
'Светодиодн излучающ головка МСО2-2000';'Светодиодн излучающ головка МСО2-2000';3 900,00
'Светодиодная излучающая головка СО3-2000 (Красная)';'Светодиодная излучающая головка СО3-2000 (Красная)';5 500,00
'Матричная светодиодная излучающ головка МСО3М-2000 (Красная)';'Матричная светодиодная излучающ головка МСО3М-2000 (Красная)';5 400,00
'Светодиодная излучающая головка СО4-2000 (Желтая)';'Светодиодная излучающая головка СО4-2000 (Желтая)';5 500,00
'Матричная светодиодная излучающ головка МСО4М-2000 (Желтая)';'Матричная светодиодная излучающ головка МСО4М-2000 (Желтая)';5 400,00
'Светодиодная излучающая головка СО5-2000 (Зеленая)';'Светодиодная излучающая головка СО5-2000 (Зеленая)';5 500,00
'Матричная светодиодная излучающ головка МСО5М-2000 (Зеленая)';'Матричная светодиодная излучающ головка МСО5М-2000 (Зеленая)';6 600,00
'Светодиодная излучающая головка СО6-2000 (Синяя)';'Светодиодная излучающая головка СО6-2000 (Синяя)';5 500,00
'Матричная светодиодная излучающ головка МСО6М-2000 (Синяя)';'Матричная светодиодная излучающ головка МСО6М-2000 (Синяя)';6 600,00
'Акупунктурная насадка А2';'Акупунктурная насадка А2';350,00
'Акупунктурная насадка А3';'Акупунктурная насадка А3';450,00
'Урологическая насадка (ректальная) П1';'Урологическая насадка (ректальная) П1';1 050,00
'Проктологическая насадка П2';'Проктологическая насадка П2';1 050,00
'Проктологическая насадка П3';'Проктологическая насадка П3';1 050,00
'Гинекологическая насадка Г1';'Гинекологическая насадка Г1';1 050,00
'Гинекологическая насадка Г2';'Гинекологическая насадка Г2';1 050,00
'Гинекологическая насадка Г3';'Гинекологическая насадка Г3';1 050,00
'Урологическая насадка (уретральная) У1';'Урологическая насадка (уретральная) У1';1 050,00
'Стоматологический комплект С1';'Стоматологический комплект С1';1 800,00
'Стоматологическая насадка С2';'Стоматологическая насадка С2';
'Стоматологическая насадка С3';'Стоматологическая насадка С3';
'Стоматологическая насадка С4';'Стоматологическая насадка С4';
'ЛОР-комплект Л1';'ЛОР-комплект Л1';1 800,00
'Комплект магнитов КМ2';'Комплект магнитов КМ2';890,00
'Магнитная насадка КМ3';'Магнитная насадка КМ3';796,00
'Магнитная насадка ММ50';'Магнитная насадка ММ50';690,00
'Магнитная насадка ММ100';'Магнитная насадка ММ100';1 200,00
'Зеркальный магнит ЗМ25';'Зеркальный магнит ЗМ25';354,00
'Зеркальный магнит ЗМ50';'Зеркальный магнит ЗМ50';690,00
'Зеркальный магнит ЗМ150';'Зеркальный магнит ЗМ150';790,00
'Зеркальная насадка ЗН25';'Зеркальная насадка ЗН25';190,00
'Зеркальная насадка ЗН35';'Зеркальная насадка ЗН35';190,00
'Зеркальная насадка ЗН30';'Зеркальная насадка ЗН30';190,00
'Зеркальная насадка ЗН50';'Зеркальная насадка ЗН50';190,00
'Автономный портативный аппарат "Муравей"                                      (Для магнитолазерной терапии)';'Автономный портативный аппарат "Муравей"                                      (Для магнитолазерной терапии)';11 900,00
'Автономный портативный аппарат Мотылек-7';'Автономный портативный аппарат Мотылек-7';4 500,00
'Автономн. портативный аппарат Мотылек-12';'Автономн. портативный аппарат Мотылек-12';5 600,00
'Автономн. портативный аппарат Мотылек-20';'Автономн. портативный аппарат Мотылек-20';8 000,00
'Автономн. портативный аппарат Мотылек-КИ';'Автономн. портативный аппарат Мотылек-КИ';6 400,00
'Автономн. портативный аппарат Мотылек-Р1';'Автономн. портативный аппарат Мотылек-Р1';7 200,00
'Автономн. портативный аппарат Мотылек-Р2';'Автономн. портативный аппарат Мотылек-Р2';8 000,00
'Автономн. портативный аппарат Мотылек-РК1';'Автономн. портативный аппарат Мотылек-РК1';6 800,00
'Автономн. портативный аппарат Мотылек-РК2';'Автономн. портативный аппарат Мотылек-РК2';11 200,00
'Очки защитные ЗН22-72-СЗС-6 (очки защитные универсальные)';'Очки защитные ЗН22-72-СЗС-6 (очки защитные универсальные)';3 400,00
'Очки защитные ОЗ-2 (ИК)';'Очки защитные ОЗ-2 (ИК)';1 400,00
'Очки защитные ОЗ-3 (красн)';'Очки защитные ОЗ-3 (красн)';1 400,00
'Визуализатор ИК-излучения НЗТ1';'Визуализатор ИК-излучения НЗТ1';2 966,10
'Датчик пульса и дыхания ДПД';'Датчик пульса и дыхания ДПД';990,00
'Держатель головок ДР1';'Держатель головок ДР1';890,00
'Фото-вакуумный массаж ФВМ-65';'Фото-вакуумный массаж ФВМ-65';1 100,00
'Фото-вакуумный массаж ФВМ-55';'Фото-вакуумный массаж ФВМ-55';1 100,00
'Фото-вакуумный массаж ФВМ-45';'Фото-вакуумный массаж ФВМ-45';1 100,00
'Фото-вакуумный массаж ФВМ-35';'Фото-вакуумный массаж ФВМ-35';1 100,00
'Фото-вакуумный массаж ФВМ-15';'Фото-вакуумный массаж ФВМ-15';1 100,00
'Фото-вакуумный массаж ФВМ-Щ';'Фото-вакуумный массаж ФВМ-Щ';1 100,00
'Ипликатор роликовый ИР-1';'Ипликатор роликовый ИР-1';1 200,00
'Ипликатор роликовый ИР-2';'Ипликатор роликовый ИР-2';1 650,00
'Ипликатор роликовый ИР-3';'Ипликатор роликовый ИР-3';2 050,00
'Аппарат вакуумного массажа ВМ-50-01';'Аппарат вакуумного массажа ВМ-50-01';6 900,00
'Комплект насадок и приспособлений для "Мустанг-косметолог"';'Комплект насадок и приспособлений для "Мустанг-косметолог"';12 900,00
'Гастрокатетер КС1 (индикатриса шар, цилиндр)';'Гастрокатетер КС1 (индикатриса шар, цилиндр)';2 300,00
'Стоматологическая насадка Д1';'Стоматологическая насадка Д1';600,00
'Стоматологическая насадка Д2';'Стоматологическая насадка Д2';600,00
'Стоматологическая насадка Д3';'Стоматологическая насадка Д3';600,00
'Стоматологическая насадка Д4';'Стоматологическая насадка Д4';600,00
'Стоматологическая насадка Д5';'Стоматологическая насадка Д5';600,00
'Стоматологическая насадка Д6';'Стоматологическая насадка Д6';600,00
'Магистральный световод М1';'Магистральный световод М1';2 600,00
'Одноразовый световод с иглой для ВЛОК (стерильно) КИВЛ-02';'Одноразовый световод с иглой для ВЛОК (стерильно) КИВЛ-02';15,50
'Одноразовый световод с иглой для ВЛОК (стерильно) КИВЛ-02';'Одноразовый световод с иглой для ВЛОК (стерильно) КИВЛ-02';19,00
'Одноразовый световод с иглой для ВЛОК (стерильно) КИВЛ-02';'Одноразовый световод с иглой для ВЛОК (стерильно) КИВЛ-02';27,00
'Одноразовый световод с иглой для ВЛОК (стерильно) КИВЛ-02';'Одноразовый световод с иглой для ВЛОК (стерильно) КИВЛ-02';22,00
'Одноразовый световод с иглой для ВЛОК (стерильно) КИВЛ-02';'Одноразовый световод с иглой для ВЛОК (стерильно) КИВЛ-02';25,00
'Одноразовый световод с иглой для ВЛОК (стерильно) КИВЛ02';'Одноразовый световод с иглой для ВЛОК (стерильно) КИВЛ02';30,00
'Магистральный световод М2';'Магистральный световод М2';2 600,00
'Организация обучения (Курсы повышения квалификации "Лазерная дерматология и эстетическая косметология", 72 ч., Удостоверение гос. Образца)';'Организация обучения (Курсы повышения квалификации "Лазерная дерматология и эстетическая косметология", 72 ч., Удостоверение гос. Образца)';14 000,00
'Организация повышения квалификации по специализации "Лазерная терапия" (72ч., Удостоверение гос образца).';'Организация повышения квалификации по специализации "Лазерная терапия" (72ч., Удостоверение гос образца).';9 500,00
'Аппарат электротерапевтический МУСТАНГ-ФИЗИО (МЭЛТ 1К в комплекте)';'Аппарат электротерапевтический МУСТАНГ-ФИЗИО (МЭЛТ 1К в комплекте)';24 900,00
'Аппарат электротерапевтический МУСТАНГ-ФИЗИО (МЭЛТ 2К в комплекте)';'Аппарат электротерапевтический МУСТАНГ-ФИЗИО (МЭЛТ 2К в комплекте)';35 900,00
'Аппарат электротерапевтический МУСТАНГ-ФИЗИО-1К (для микротоковой терапии и электропорации)';'Аппарат электротерапевтический МУСТАНГ-ФИЗИО-1К (для микротоковой терапии и электропорации)';29 900,00
'Аппарат электротерапевтический МУСТАНГ-ФИЗИО-2К (для микротоковой терапии и электропорации)';'Аппарат электротерапевтический МУСТАНГ-ФИЗИО-2К (для микротоковой терапии и электропорации)';39 900,00
'Аппарат электротерапевтический МУСТАНГ-ФИЗИО-ГАЛЬВАФОР';'Аппарат электротерапевтический МУСТАНГ-ФИЗИО-ГАЛЬВАФОР';6 900,00
'Аппарат электротерапевтический МУСТАНГ-ФИЗИО-ИНТЕР';'Аппарат электротерапевтический МУСТАНГ-ФИЗИО-ИНТЕР';29 900,00
'Стойка для размещения аппаратов серии "МУСТАНГ-ФИЗИО"';'Стойка для размещения аппаратов серии "МУСТАНГ-ФИЗИО"';9 900,00
'Комплект электродов для микротоковой терапии (мини)';'Комплект электродов для микротоковой терапии (мини)';3 146,00
'Комплект электродов для микротоковой терапии (стандарт)';'Комплект электродов для микротоковой терапии (стандарт)';6 400,00
'Комплект электродов для микротоковой терапии (премиум)';'Комплект электродов для микротоковой терапии (премиум)';11 000,00
'Манипула (электростимулирующий карандаш) с внешним нейтральным электродом в комплекте с 4 насадками (гриб, игла, длинная игла, шарик) - для профессионального использования PG-330';'Манипула (электростимулирующий карандаш) с внешним нейтральным электродом в комплекте с 4 насадками (гриб, игла, длинная игла, шарик) - для профессионального использования PG-330';1 750,00
'Электрод для электростимулирующего карандаша - “валик” PG-325';'Электрод для электростимулирующего карандаша - “валик” PG-325';582,00
'Электростимулирующий карандаш с 2-мя жестко закрепленными электродами в виде сфер PG-340';'Электростимулирующий карандаш с 2-мя жестко закрепленными электродами в виде сфер PG-340';1 750,00
'Перчатки для стимуляции с контактом типа "кнопка" (цена за пару) PG-1040';'Перчатки для стимуляции с контактом типа "кнопка" (цена за пару) PG-1040';2 256,00
'Голубой эластичный ремень шириной 80 мм и длиной 800 мм PG-945/8';'Голубой эластичный ремень шириной 80 мм и длиной 800 мм PG-945/8';197,00
'Голубой эластичный ремень шириной 30 мм и длиной 400 мм (PG-965/4)';'Голубой эластичный ремень шириной 30 мм и длиной 400 мм (PG-965/4)';65,00
'Многоразовые электроды из электропроводящего силикона rвадратные размером 50 х 50 мм с разъемом 2мм PG-970/2';'Многоразовые электроды из электропроводящего силикона rвадратные размером 50 х 50 мм с разъемом 2мм PG-970/2';128,00
'Многоразовые электроды из электропроводящего силикона Круглый электрод диаметром 55 мм с разъемом 2 мм PG-960/55';'Многоразовые электроды из электропроводящего силикона Круглый электрод диаметром 55 мм с разъемом 2 мм PG-960/55';205,00
'Поддерживающая сумка для электродов размером 50 х 50 мм PG-970S';'Поддерживающая сумка для электродов размером 50 х 50 мм PG-970S';109,00
'Покрытые гелем одноразовые электроды из проводящей ткани  диаметром 32мм с проводом и 2мм разъёмом PG-479/32W';'Покрытые гелем одноразовые электроды из проводящей ткани  диаметром 32мм с проводом и 2мм разъёмом PG-479/32W';60,00
'Одноразовые электроды с контактом типа "кнопка" размером 35х45мм (двойной гель) PG-670N';'Одноразовые электроды с контактом типа "кнопка" размером 35х45мм (двойной гель) PG-670N';40,00
'Кабель соединит. одноконтактн. (конт кнопка), синий КСКН-1';'Кабель соединит. одноконтактн. (конт кнопка), синий КСКН-1';189,00
'Кабель соединит. одноконтактн. (конт кнопка) красный КСКН-1';'Кабель соединит. одноконтактн. (конт кнопка) красный КСКН-1';189,00
'Кабель соединительный двухконтактный (конт кнопка), желтый КСКН-2';'Кабель соединительный двухконтактный (конт кнопка), желтый КСКН-2';329,00
'Кабель соединит. одноконтактн. (конт штекер 2 мм), синий КСШ-1';'Кабель соединит. одноконтактн. (конт штекер 2 мм), синий КСШ-1';239,00
'Кабель соединит. одноконтактн. (конт штекер 2 мм) красный КСШ-1';'Кабель соединит. одноконтактн. (конт штекер 2 мм) красный КСШ-1';239,00
'Кабель соединительн двухконтактный (конт штекер 2 мм) желтый КСШ-2';'Кабель соединительн двухконтактный (конт штекер 2 мм) желтый КСШ-2';409,00
'Кабель соединит. одноконтактн. (конт флажок) синий КСФ-1';'Кабель соединит. одноконтактн. (конт флажок) синий КСФ-1';179,00
'Кабель соединит. одноконтактн. (конт флажок) красный КСФ-1';'Кабель соединит. одноконтактн. (конт флажок) красный КСФ-1';179,00
'Кабель соединительн двухконтактный (конт флажок) желтый КСФ-2';'Кабель соединительн двухконтактный (конт флажок) желтый КСФ-2';229,00
'Кабель соединит. одноконтактн. (конт крокодил) красн КСКР-1';'Кабель соединит. одноконтактн. (конт крокодил) красн КСКР-1';189,00
'Кабель соединит. одноконтактн. (конт крокодил) синий КСКР-1';'Кабель соединит. одноконтактн. (конт крокодил) синий КСКР-1';189,00
'Кабель соединительн двухконтактный (конт крокодил) желтый КСКР-2';'Кабель соединительн двухконтактный (конт крокодил) желтый КСКР-2';239,00
'Многоразовый электрод (конт кнопка) 35х45 мм. PG701';'Многоразовый электрод (конт кнопка) 35х45 мм. PG701';139,00
'Многоразовый электрод (конт кнопка) 60х45 мм. PG702';'Многоразовый электрод (конт кнопка) 60х45 мм. PG702';149,00
'Многоразовый электрод (конт кнопка) 60х80 мм. PG703';'Многоразовый электрод (конт кнопка) 60х80 мм. PG703';149,00
'Многоразовый электрод (конт кнопка) 80х120 мм. PG704';'Многоразовый электрод (конт кнопка) 80х120 мм. PG704';169,00
'Многоразовый электрод (конт кнопка) 120х220 мм. PG705';'Многоразовый электрод (конт кнопка) 120х220 мм. PG705';259,00
'Многоразовый электрод (конт кнопка) 120х160 мм. PG706';'Многоразовый электрод (конт кнопка) 120х160 мм. PG706';229,00
'Многоразовый электрод из электропроводящего силикона(конт штекер 2 мм) 50х50 мм. PG970/2';'Многоразовый электрод из электропроводящего силикона(конт штекер 2 мм) 50х50 мм. PG970/2';149,00
'Многоразовый электрод из электропроводящего силикона(конт штекер 2 мм) 60х85 мм. PG980/2';'Многоразовый электрод из электропроводящего силикона(конт штекер 2 мм) 60х85 мм. PG980/2';189,00
'Многоразовый электрод из электропроводящего силикона(конт штекер 2 мм) 50х100 мм. PG916/2';'Многоразовый электрод из электропроводящего силикона(конт штекер 2 мм) 50х100 мм. PG916/2';289,00
'Многоразовый электрод из электропроводящего силикона(конт штекер 2 мм) 80х120 мм. PG912/2';'Многоразовый электрод из электропроводящего силикона(конт штекер 2 мм) 80х120 мм. PG912/2';349,00
'Поддерживающая сумка из синтетической кожи для многоразовых электродов (для электрофореза) 50х50 мм. PG970/S';'Поддерживающая сумка из синтетической кожи для многоразовых электродов (для электрофореза) 50х50 мм. PG970/S';109,00
'Поддерживающая сумка из синтетической кожи для многоразовых электродов (для электрофореза) 60х85 мм. PG980/S';'Поддерживающая сумка из синтетической кожи для многоразовых электродов (для электрофореза) 60х85 мм. PG980/S';109,00
'Поддерживающая сумка из синтетической кожи для многоразовых электродов (для электрофореза) 50х100 мм. PG916/S';'Поддерживающая сумка из синтетической кожи для многоразовых электродов (для электрофореза) 50х100 мм. PG916/S';209,00
'Поддерживающая сумка из синтетической кожи для многоразовых электродов (для электрофореза) 80х120 мм. PG912/S';'Поддерживающая сумка из синтетической кожи для многоразовых электродов (для электрофореза) 80х120 мм. PG912/S';229,00
'Электропроводящая силиконовая лента с отверстием под контакт "штекер 2мм" по центру (ширина 55мм) PG-901/2';'Электропроводящая силиконовая лента с отверстием под контакт "штекер 2мм" по центру (ширина 55мм) PG-901/2';1049,00
'Электропроводящая силиконовая лента с отверстием под контакт "штекер 2мм" по центру (ширина 100мм) PG-906/2';'Электропроводящая силиконовая лента с отверстием под контакт "штекер 2мм" по центру (ширина 100мм) PG-906/2';1399,00
'Электрод-маска 68 мм для процедуры "электросон" Маска-Ф68';'Электрод-маска 68 мм для процедуры "электросон" Маска-Ф68';1990,00
'Пульт ДУ ';'Пульт ДУ ';3900,00
'Оголовье для ТЭС';'Оголовье для ТЭС';5500,00
'Ввнночка глазная полимерная для электрофореза ВГЭ-01';'Ввнночка глазная полимерная для электрофореза ВГЭ-01';499,00
